chassis,series,full_range,light_donors_today,LCI_START_YEAR,confidence,pre_LCI_years,post_LCI_years,note
E30,3 Series,1984-1991,0,1988,med,1984-1987,1988-1991,facelift ~MY1988
E30 M3,M3,1988-1991,0,none,derived-none,,,"follows E30, whose LCI 1988 predates this M car's run"
E31,8 Series (classic),1991-1997,0,none,med,,,
E36,3 Series,1992-1999,0,1997,low,1992-1996,1997-1999,~MY1997 - VERIFY
E36 M3,M3,1995-1999,0,1997,derived,1995-1996,1997-1999,follows E36 (LCI 1997)
E38,7 Series,1995-2001,0,1999,med,1995-1998,1999-2001,
E36/7,Z3 Roadster,1996-2002,0,2000,low,1996-1999,2000-2002,Z3 ~MY2000 - VERIFY
E39,5 Series,1997-2003,0,2001,confirmed,1997-2000,2001-2003,
E36/8,Z3 Coupe,1999-2002,0,none,med,,,Z3 coupe
E46,3 Series,1999-2006,0,2002,confirmed,1999-2001,2002-2006,
E39 M5,M5,2000-2003,0,2001,derived,2000-2000,2001-2003,follows E39 (LCI 2001)
E52,Z8,2000-2003,0,none,med,,,Z8
E53,X5,2000-2006,0,2004,confirmed,2000-2003,2004-2006,
E46 M3,M3,2001-2006,0,2002,derived,2001-2001,2002-2006,follows E46 (LCI 2002)
E65,7 Series (SWB),2002-2008,0,2006,med,2002-2005,2006-2008,
E66,7 Series (LWB),2002-2008,0,2006,med,2002-2005,2006-2008,LWB = E65
E85,Z4 Roadster,2003-2008,1,2006,med,2003-2005,2006-2008,mendy to confirm
E60,5 Series Sedan,2004-2010,3,2008,confirmed,2004-2007,2008-2010,
E63,6 Series Coupe,2004-2010,0,2008,med,2004-2007,2008-2010,= E60
E64,6 Series Convertible,2004-2010,0,2008,med,2004-2007,2008-2010,
E83,X3,2004-2010,3,2007,confirmed,2004-2006,2007-2010,
E60 M5,M5,2006-2010,0,2008,derived,2006-2007,2008-2010,follows E60 (LCI 2008)
E61,5 Series Touring,2006-2010,0,2008,med,2006-2007,2008-2010,touring = E60
E63/E64 M6,M6,2006-2010,0,2008,derived,2006-2007,2008-2010,follows E63 (LCI 2008)
E86,Z4 Coupe,2006-2008,0,none,med,,,2006-2008
E90,3 Series Sedan,2006-2011,11,2009,confirmed,2006-2008,2009-2011,
E91,3 Series Touring,2006-2012,0,2009,med,2006-2008,2009-2012,wagon = sedan
E70,X5,2007-2013,11,2011,confirmed,2007-2010,2011-2013,
