chassis_code,trim,engine_code,engine,fuel,year_range,confidence,verified,notes
E30,318i,M10,1.8L SOHC I4 gas,gas,1984-1985,high,no,Carryover M10B18; replaced by M42 in 1991.
E30,318i,M42,1.8L DOHC 16v I4 gas,gas,1991-1991,high,no,1991 318i sedan returned with DOHC M42B18.
E30,318is,M42,1.8L DOHC 16v I4 gas,gas,1990-1991,high,no,
E30,325e,M20,2.7L SOHC I6 gas (eta),gas,1984-1987,high,no,Low-rev 'eta' M20B27.
E30,325es,M20,2.7L SOHC I6 gas (eta),gas,1985-1987,high,no,Sport version of 325e.
E30,325,M20,2.5L SOHC I6 gas,gas,1988-1991,medium,no,Base 325 (RWD) M20B25.
E30,325i,M20,2.5L SOHC I6 gas,gas,1987-1991,high,no,
E30,325is,M20,2.5L SOHC I6 gas,gas,1987-1991,high,no,
E30,325ix,M20,2.5L SOHC I6 gas,gas,1988-1991,high,no,AWD.
E30 M3,M3,S14,2.3L DOHC 16v I4 gas,gas,1988-1991,high,no,US S14B23 ~192hp.
E36,318i,M42,1.8L DOHC 16v I4 gas,gas,1992-1995,high,no,
E36,318i,M44,1.9L DOHC 16v I4 gas,gas,1996-1999,high,no,M44B19 from 1996.
E36,318is,M42,1.8L DOHC 16v I4 gas,gas,1992-1995,high,no,
E36,318is,M44,1.9L DOHC 16v I4 gas,gas,1996-1997,high,no,Coupe ended 1997.
E36,318ti,M42,1.8L DOHC 16v I4 gas,gas,1995-1995,high,no,Compact hatch.
E36,318ti,M44,1.9L DOHC 16v I4 gas,gas,1996-1999,high,no,
E36,323i,M52,2.5L DOHC I6 gas,gas,1998-1999,high,no,M52B25.
E36,323is,M52,2.5L DOHC I6 gas,gas,1998-1999,high,no,M52B25 coupe.
E36,325i,M50,2.5L DOHC I6 gas,gas,1992-1995,high,no,M50B25 / M50TU.
E36,325is,M50,2.5L DOHC I6 gas,gas,1992-1995,high,no,
E36,328i,M52,2.8L DOHC I6 gas,gas,1996-1999,high,no,M52B28.
E36,328is,M52,2.8L DOHC I6 gas,gas,1996-1999,high,no,M52B28 coupe.
E36 M3,M3,S50,3.0L DOHC I6 gas,gas,1995-1995,high,no,US-only S50B30US (240hp).
E36 M3,M3,S52,3.2L DOHC I6 gas,gas,1996-1999,high,no,US-only S52B32 (240hp).
E46,323i,M52,2.5L DOHC I6 gas,gas,1999-2000,high,no,M52TUB25.
E46,323Ci,M52,2.5L DOHC I6 gas,gas,2000-2000,high,no,M52TUB25 coupe.
E46,325i,M54,2.5L DOHC I6 gas,gas,2001-2005,high,no,M54B25.
E46,325xi,M54,2.5L DOHC I6 gas,gas,2001-2005,high,no,AWD.
E46,325Ci,M54,2.5L DOHC I6 gas,gas,2001-2006,high,no,Coupe/convertible to 2006.
E46,328i,M52,2.8L DOHC I6 gas,gas,1999-2000,high,no,M52TUB28; replaced by 330i in 2001.
E46,328Ci,M52,2.8L DOHC I6 gas,gas,2000-2000,high,no,M52TUB28 coupe.
E46,330i,M54,3.0L DOHC I6 gas,gas,2001-2005,high,no,M54B30.
E46,330xi,M54,3.0L DOHC I6 gas,gas,2001-2005,high,no,AWD.
E46,330Ci,M54,3.0L DOHC I6 gas,gas,2001-2006,high,no,Coupe/convertible to 2006.
E46 M3,M3,S54,3.2L DOHC I6 gas,gas,2001-2006,high,no,S54B32 (333hp).
E90,325i,N52,3.0L I6 gas (detuned ~215hp),gas,2006-2006,high,no,"US 325i = N52B30 detuned, NOT the ROW 2.5L; renamed 328i in 2007."
E90,325xi,N52,3.0L I6 gas (detuned),gas,2006-2006,high,no,AWD.
E90,328i,N52,3.0L I6 gas,gas,2007-2011,high,no,N52B30 230hp; SULEV states used N51.
E90,328xi,N52,3.0L I6 gas,gas,2007-2008,high,no,AWD; renamed 328i xDrive in 2009.
E90,328i xDrive,N52,3.0L I6 gas,gas,2009-2011,high,no,N52/N51.
E90,330i,N52,3.0L I6 gas,gas,2006-2006,high,no,N52B30 255hp; replaced by 335i in 2007.
E90,330xi,N52,3.0L I6 gas,gas,2006-2006,high,no,AWD.
E90,335i,N54,3.0L twin-turbo I6 gas,gas,2007-2010,high,no,N54B30 300hp.
E90,335i,N55,3.0L single-turbo I6 gas,gas,2011-2011,high,no,Switched to N55 for final sedan year.
E90,335i xDrive,N54,3.0L twin-turbo I6 gas,gas,2008-2010,high,no,AWD.
E90,335i xDrive,N55,3.0L single-turbo I6 gas,gas,2011-2011,high,no,AWD final year.
E90,335d,M57,3.0L twin-turbo I6 diesel,diesel,2009-2011,high,no,M57D30 265hp.
E91,325i,N52,3.0L I6 gas (detuned),gas,2006-2006,high,no,Sports Wagon.
E91,325xi,N52,3.0L I6 gas (detuned),gas,2006-2006,high,no,AWD wagon.
E91,328i,N52,3.0L I6 gas,gas,2007-2012,high,no,Wagon.
E91,328i xDrive,N52,3.0L I6 gas,gas,2009-2012,high,no,AWD wagon.
E92,328i,N52,3.0L I6 gas,gas,2007-2013,high,no,Coupe N52/N51.
E92,328xi,N52,3.0L I6 gas,gas,2007-2008,high,no,AWD coupe.
E92,328i xDrive,N52,3.0L I6 gas,gas,2009-2013,high,no,AWD coupe.
E92,335i,N54,3.0L twin-turbo I6 gas,gas,2007-2010,high,no,Coupe.
E92,335i,N55,3.0L single-turbo I6 gas,gas,2011-2013,high,no,LCI coupe.
E92,335xi,N54,3.0L twin-turbo I6 gas,gas,2008-2010,high,no,AWD; renamed 335i xDrive 2009.
E92,335i xDrive,N54,3.0L twin-turbo I6 gas,gas,2009-2010,high,no,AWD coupe.
E92,335i xDrive,N55,3.0L single-turbo I6 gas,gas,2011-2013,high,no,AWD coupe LCI.
E92,335is,N54,3.0L twin-turbo I6 gas (higher tune),gas,2011-2013,high,no,335is KEPT N54 (320hp) even after base moved to N55.
E93,328i,N52,3.0L I6 gas,gas,2007-2013,high,no,Convertible.
E93,335i,N54,3.0L twin-turbo I6 gas,gas,2007-2010,high,no,Convertible.
E93,335i,N55,3.0L single-turbo I6 gas,gas,2011-2013,high,no,Convertible LCI.
E93,335is,N54,3.0L twin-turbo I6 gas (higher tune),gas,2011-2013,high,no,Kept N54 (320hp).
E90 M3,M3,S65,4.0L DOHC V8 gas,gas,2008-2011,high,no,S65B40 414hp sedan.
E92 M3,M3,S65,4.0L DOHC V8 gas,gas,2008-2013,high,no,Coupe.
E93 M3,M3,S65,4.0L DOHC V8 gas,gas,2008-2013,high,no,Convertible.
F30,320i,N20,2.0L turbo I4 gas,gas,2013-2018,high,no,320i kept N20 entire US run (never B48).
F30,328i,N20,2.0L turbo I4 gas,gas,2012-2016,high,no,N20B20 240hp; badge became 330i in 2016.
F30,328d,N47,2.0L turbo I4 diesel,diesel,2014-2018,high,no,US 328d = N47 throughout (no B47).
F30,330i,B48,2.0L turbo I4 gas,gas,2016-2018,high,no,B48B20 248hp; replaced 328i in LCI.
F30,335i,N55,3.0L turbo I6 gas,gas,2012-2015,high,no,N55B30 300hp; became 340i in 2016.
